N,AVLFindBest,AVLFindWorst,AVLFindAverage,BSTFindBest,BSTFindWorst,BSTFindAverage,AVLInsertBest,AVLInsertWorst,AVLInsertAverage,BSTInsertBest,BSTInsertWorst,BSTInsertAverage
1,7,7,7.0,1,1,1.0,2,2,2.0,0,0,0.0
2,3,7,5.0,1,3,2.0,2,6,4.0,0,2,1.0
3,3,7,5.0,1,5,3.0,2,12,6.666666666666667,0,6,2.6666666666666665
4,3,9,6.0,1,5,3.5,2,18,9.5,0,10,4.5
5,3,9,6.6,1,5,3.4,2,24,12.4,0,12,6.0
6,3,9,6.0,1,5,3.6666666666666665,2,32,15.666666666666666,0,16,7.666666666666667
7,3,9,6.428571428571429,1,7,4.142857142857143,2,40,19.142857142857142,0,22,9.714285714285714
8,3,15,7.5,1,7,4.5,2,48,22.75,0,28,12.0
9,3,17,8.555555555555555,1,7,4.777777777777778,2,56,26.444444444444443,0,34,14.444444444444445
10,3,17,9.4,1,7,5.0,2,64,30.2,0,40,17.0
11,3,17,9.909090909090908,1,9,5.363636363636363,2,74,34.18181818181818,0,48,19.818181818181817
12,3,17,10.0,1,9,5.666666666666667,2,84,38.333333333333336,0,56,22.833333333333332
13,3,17,9.76923076923077,1,11,6.076923076923077,2,96,42.76923076923077,0,66,26.153846153846153
14,3,17,9.714285714285714,1,11,6.285714285714286,2,104,47.142857142857146,0,74,29.571428571428573
15,3,17,9.8,1,11,6.466666666666667,2,112,51.46666666666667,0,82,33.06666666666667
16,3,17,10.125,1,11,6.75,2,122,55.875,0,92,36.75
17,3,17,10.411764705882353,1,11,6.764705882352941,2,132,60.35294117647059,0,98,40.35294117647059
18,3,17,10.777777777777779,1,11,6.777777777777778,2,140,64.77777777777777,0,104,43.888888888888886
19,3,17,10.68421052631579,1,11,6.894736842105263,2,150,69.26315789473684,0,112,47.473684210526315
20,3,17,10.9,1,11,7.1,2,160,73.8,0,122,51.2
21,1,17,10.428571428571429,1,11,7.285714285714286,2,172,78.47619047619048,0,132,55.04761904761905
22,1,17,10.454545454545455,1,11,7.363636363636363,2,182,83.18181818181819,0,140,58.90909090909091
23,1,17,10.73913043478261,1,11,7.260869565217392,2,194,88.0,0,144,62.608695652173914
24,1,17,10.5,1,13,7.5,2,206,92.91666666666667,0,156,66.5
25,1,17,10.52,1,13,7.72,2,216,97.84,0,168,70.56
26,1,17,10.461538461538462,1,13,7.923076923076923,2,228,102.84615384615384,0,180,74.76923076923077
27,1,17,10.62962962962963,1,13,7.962962962962963,2,240,107.92592592592592,0,188,78.96296296296296
28,1,17,10.571428571428571,1,13,8.071428571428571,2,250,113.0,0,198,83.21428571428571
29,1,17,10.793103448275861,1,13,8.241379310344827,2,262,118.13793103448276,0,210,87.58620689655173
30,1,17,10.8,1,15,8.466666666666667,2,274,123.33333333333333,0,224,92.13333333333334
31,1,17,10.741935483870968,1,15,8.548387096774194,2,284,128.51612903225808,0,234,96.70967741935483
32,1,17,10.8125,1,15,8.625,2,296,133.75,0,244,101.3125
33,1,17,10.696969696969697,1,15,8.757575757575758,2,310,139.0909090909091,0,256,106.0
34,1,17,10.882352941176471,1,15,8.882352941176471,2,320,144.41176470588235,0,268,110.76470588235294
35,1,17,11.0,1,15,9.0,2,332,149.77142857142857,0,280,115.6
36,1,17,10.88888888888889,1,15,9.11111111111111,2,344,155.16666666666666,0,292,120.5
37,1,17,11.0,1,17,9.324324324324325,2,358,160.64864864864865,0,308,125.56756756756756
38,1,17,11.105263157894736,1,17,9.473684210526315,2,372,166.21052631578948,0,322,130.73684210526315
39,1,17,11.256410256410257,1,17,9.512820512820513,2,384,171.7948717948718,0,332,135.89743589743588
40,1,17,11.3,1,17,9.65,2,398,177.45,0,346,141.15
41,1,17,11.439024390243903,1,17,9.731707317073171,2,412,183.17073170731706,0,358,146.4390243902439
42,1,17,11.523809523809524,1,17,9.857142857142858,2,424,188.9047619047619,0,372,151.8095238095238
43,1,17,11.651162790697674,1,17,9.930232558139535,2,436,194.65116279069767,0,384,157.2093023255814
